fixture_id,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
867990,2,5,9,2,7,2,15,3,2.0,46%,3.0,,2,513,400,78%,,
868001,6,3,10,1,7,3,13,2,4.0,40%,3.0,,2,310,242,78%,,
868033,8,1,12,3,6,6,9,1,0.0,46%,3.0,,3,476,408,86%,,
868041,4,5,12,3,5,7,13,4,4.0,60%,1.0,,1,609,510,84%,,
868052,2,8,15,5,7,8,13,4,2.0,63%,3.0,,2,512,415,81%,,
868065,10,9,28,9,13,15,7,8,4.0,52%,1.0,,2,583,498,85%,,
868067,6,6,13,1,6,7,10,4,3.0,52%,4.0,,1,464,360,78%,,
868084,3,7,16,6,11,5,12,5,1.0,53%,1.0,,4,490,405,83%,,
868086,3,2,8,3,4,4,12,5,3.0,58%,3.0,,1,543,463,85%,,
868098,9,3,14,2,10,4,10,3,2.0,47%,1.0,,6,433,344,79%,,
868114,8,3,17,6,12,5,13,9,1.0,66%,3.0,,3,631,549,87%,,
868125,6,5,16,5,11,5,11,5,2.0,54%,3.0,,3,484,393,81%,,
868134,6,6,18,6,10,8,13,6,0.0,59%,0.0,,4,579,495,85%,,
868141,4,1,8,3,6,2,15,1,6.0,29%,3.0,,0,310,230,74%,,
868008,4,8,15,3,8,7,10,3,,61%,2.0,,4,626,509,81%,2.08,
868147,4,0,6,2,3,3,9,4,4.0,43%,2.0,,2,396,307,78%,0.36,
868161,5,5,14,4,10,4,9,5,1.0,53%,1.0,1.0,2,487,416,85%,2.04,
868021,7,9,24,8,16,8,7,6,1.0,66%,1.0,,1,615,498,81%,2.04,
868170,5,4,11,2,8,3,13,3,3.0,67%,1.0,,6,544,444,82%,1.12,
868181,8,9,26,9,19,7,9,6,0.0,57%,0.0,,3,572,484,85%,4.47,
868201,4,3,8,1,6,2,14,3,4.0,40%,3.0,,1,314,223,71%,0.82,
868212,4,3,10,3,6,4,12,7,0.0,47%,2.0,1.0,4,389,304,78%,0.86,
868233,1,3,6,2,5,1,12,4,0.0,54%,,,4,417,338,81%,0.43,
868192,3,8,18,7,8,10,8,12,3.0,65%,3.0,,1,615,528,86%,1.20,
868242,11,10,29,8,20,9,10,10,3.0,64%,,,1,614,535,87%,3.46,
868251,8,9,22,5,16,6,9,9,3.0,68%,2.0,,0,608,504,83%,3.48,
868269,8,5,17,4,11,6,7,8,3.0,60%,2.0,,5,600,518,86%,2.03,
868284,6,6,14,2,8,6,16,1,7.0,57%,2.0,,1,512,436,85%,1.25,
868219,5,6,16,5,8,8,14,6,2.0,40%,4.0,,5,385,291,76%,1.42,
868294,4,12,19,3,11,8,9,6,1.0,65%,2.0,,3,680,588,86%,1.18,
868304,9,11,27,7,13,14,9,11,0.0,48%,3.0,,0,439,359,82%,3.20,
868306,5,8,20,7,10,10,7,6,2.0,58%,0.0,,4,655,561,86%,1.41,
868264,9,4,18,5,13,5,12,3,,41%,1.0,,4,438,368,84%,5.21,
868324,8,7,21,6,12,9,14,5,1.0,53%,1.0,,2,493,415,84%,2.89,
1035046,3,4,15,8,12,3,15,8,1.0,51%,2.0,,6,465,383,82%,2.21,
1035054,6,7,22,9,16,6,8,6,4.0,44%,3.0,,5,401,332,83%,2.07,
1035064,9,5,18,4,7,11,13,11,3.0,66%,4.0,0.0,2,637,548,86%,2.83,
1035067,2,1,10,7,7,3,7,3,1.0,45%,3.0,,2,462,392,85%,0.94,
1035081,4,4,14,6,8,6,8,8,4.0,44%,2.0,,5,497,425,86%,0.96,
1035090,4,2,11,5,8,3,12,5,3.0,38%,2.0,,4,402,321,80%,0.97,
1035101,4,8,19,7,15,4,10,10,2.0,77%,3.0,,1,741,653,88%,1.30,
1035114,8,9,21,4,14,7,10,7,4.0,64%,0.0,,2,557,488,88%,1.43,
1035125,5,6,14,3,5,9,10,4,4.0,62%,1.0,,5,556,449,81%,1.10,
1035134,3,3,7,1,6,1,9,7,4.0,40%,4.0,,7,391,316,81%,0.95,
1035140,5,5,12,2,6,6,15,4,2.0,55%,2.0,,2,454,357,79%,0.69,
1035154,4,8,15,3,11,4,9,11,1.0,65%,0.0,,4,576,501,87%,2.18,
1035296,4,5,9,0,7,2,8,5,2.0,49%,0.0,,6,444,338,76%,2.22,
1035311,1,2,8,5,4,4,14,3,1.0,42%,2.0,,3,366,277,76%,0.48,
1035323,9,11,28,8,20,8,12,12,3.0,45%,4.0,,2,397,339,85%,4.17,
1035330,3,5,20,12,15,5,7,10,1.0,69%,3.0,,1,660,561,85%,1.16,
1035339,1,4,6,1,4,2,8,0,2.0,32%,6.0,1.0,8,293,209,71%,0.75,
1035352,3,6,11,2,7,4,15,4,1.0,65%,3.0,,3,626,536,86%,1.03,
1035361,7,3,13,3,8,5,10,3,9.0,46%,1.0,,1,393,313,80%,1.13,
1035370,5,2,10,3,6,4,11,5,2.0,55%,4.0,,0,489,395,81%,0.76,
1035381,2,4,9,3,6,3,8,8,3.0,36%,2.0,,3,313,237,76%,0.75,
1035390,8,7,21,6,12,9,10,5,2.0,47%,5.0,,3,454,386,85%,3.34,
1035401,5,5,12,2,7,5,10,5,1.0,51%,0.0,,4,528,452,86%,0.75,
1035404,5,5,17,7,13,4,7,8,6.0,44%,2.0,,8,388,312,80%,1.79,
1035418,9,5,21,7,13,8,21,6,1.0,41%,5.0,,3,391,299,76%,2.98,
1035431,9,6,21,6,11,10,6,10,2.0,57%,2.0,,3,537,464,86%,1.72,
1035439,1,2,3,0,2,1,10,2,1.0,27%,1.0,,5,305,240,79%,0.25,
1035451,8,3,15,4,11,4,13,5,6.0,51%,1.0,,6,488,398,82%,2.72,
1035466,5,4,11,2,3,8,14,4,2.0,53%,2.0,,4,450,359,80%,0.59,
